Answer Relevance,BLEU,Context Relevance,Groundedness,ROUGE-L,latency,total_cost
1.0,0.24940326080759784,,,0.4992666289883608,0.0004602,0.0
1.0,,,,,0.0002891,0.0
0.8888888888888888,0.08781808878405989,,,0.25307550403335843,0.00032740833333333333,0.0
0.8333333333333334,,,0.37498998940814793,,0.0003252350746268657,6.804477611940298e-06
0.8333333333333333,0.0,,,0.2098901098901099,0.0004438208333333333,0.0
0.7777777777777777,,0.1111111111111111,0.7888888888888889,,2.0696746666666668,0.0013589666666666668
0.654054054054054,0.011810873886283895,,,0.11842037245368081,0.00029929329962073324,0.0
0.5555555555555555,,0.4444444444444444,0.6111111111111112,,2.752034666666667,0.0034560999999999997
0.5166666666666667,,,,,0.0003131333333333333,0.0
0.5126050420168067,0.010434169821806774,,,0.13755928631496844,0.0003387,0.0
0.38492063492063494,0.009855989759459732,,,0.13510200501764558,0.00031133136094674556,0.0
0.38067061143984215,0.009701989919468173,,,0.1354860803902269,0.00032573372781065086,0.0
0.3333333333333333,0.0,,,0.12987012987012989,0.00034099166666666666,0.0
0.3125,0.24940326080759784,,,0.4992666289883608,0.00039103125,0.0
0.3125,0.08045266477664446,,,0.16105375128656801,0.0003333125,0.0
0.3125,0.026408876163123908,,,0.13763351266526885,0.00034209375,0.0
,,,,,0.00048433727810650895,0.0
,,,,,0.00047592307692307696,0.0
,,,,,0.0003755207100591716,0.0
,,,,,0.000354,0.0
,,,,,0.0004082272727272727,0.0
,,,,,0.001655875,0.0
,,,,,0.00040028333333333335,0.0
,,,,,0.000457675,0.0
,,,,,0.00033831666666666666,0.0
,,,,,0.0004186,0.0
,,,,,0.0002858,0.0
,,,,,0.000315925,0.0
,,,,,0.0005865666666666666,0.0
,,,,,0.00032273333333333334,0.0
,,,,,0.0003168,0.0
,,,,,0.0003024,0.0
,,,,,0.0005033431952662722,0.0
,,,,,0.00046489349112426037,0.0
,,,,,0.0005063609467455621,0.0
,,,,,0.0003446666666666667,0.0
,,,,,0.00031095,0.0
,,,,,0.0003042,0.0
,,,,,0.0003242366863905325,0.0
,,,,,0.00037225443786982246,0.0
,,,,,0.0003016213017751479,0.0
,,,,,0.0005014142011834319,0.0
,,,,,0.0011164827586206897,0.0
,,,,,0.00030913636363636364,0.0
,,,,,0.00085928125,0.0
